"ARTIS","TOTAL_LAGU"
The Beatles,100
Led Zeppelin,68
Rolling Stones,55
Van Halen,44
Pink Floyd,39
Aerosmith,31
The Who,31
AC/DC,29
Tom Petty & The Heartbreakers,29
Bob Seger,24
Fleetwood Mac,24
Heart,24
Bruce Springsteen,23
Paul McCartney & Wings,23
Elton John,22
ZZ Top,22
Eric Clapton,21
The Doors,21
Eagles,20
Metallica,20
Rush,20
Billy Joel,19
David Bowie,19
Ozzy Osbourne,19
Queen,19
U2,19
Creedence Clearwater Revival,18
Jimi Hendrix,18
The Cars,18
Boston,17
Grateful Dead,17
Journey,17
Foreigner,16
Genesis,16
John Mellencamp,16
The Doobie Brothers,16
Lynyrd Skynyrd,15
Steve Miller Band,15
Stevie Ray Vaughan,15
The Police,15
Bad Company,14
Neil Young,14
Allman Brothers Band,13
Def Leppard,13
Guns N' Roses,13
Pearl Jam,13
The Black Crowes,12
The Kinks,12
Deep Purple,11
Dire Straits,11
Electric Light Orchestra,11
Kiss,11
Motley Crue,11
REO Speedwagon,11
Santana,11
Styx,11
Alice Cooper,10
Bon Jovi,10
Foo Fighters,10
Jethro Tull,10
Joe Walsh,10
Nirvana,10
Pat Benatar,10
Rod Stewart,10
Sammy Hagar,10
Scorpions,10
Van Morrison,10
Yes,10
Black Sabbath,9
Chicago,9
J. Geils Band,9
Jackson Browne,9
Judas Priest,9
Steely Dan,9
Talking Heads,9
Billy Squier,8
George Thorogood,8
Green Day,8
Red Hot Chili Peppers,8
Stone Temple Pilots,8
The Pretenders,8
Clarks,7
Cream,7
Peter Gabriel,7
Supertramp,7
Alice In Chains,6
Billy Idol,6
Blue Oyster Cult,6
Bob Dylan,6
Bob Marley,6
Charlie Daniels Band,6
Don Henley,6
Eddie Money,6
Grand Funk Railroad,6
John Lennon,6
Michael Stanley,6
R.E.M.,6
Ringo Starr,6
Ted Nugent,6
The Clash,6
The Ramones,6
Whitesnake,6
Bryan Adams,5
Cheap Trick,5
Cinderella,5
"Crosby, Stills & Nash",5
"Emerson, Lake & Palmer",5
Great White,5
Guess Who,5
Iron Maiden,5
Janis Joplin,5
Joe Cocker,5
