"Artist Name","1970","1971","1972","1973","1974","1975"
Led Zeppelin,11,8,0,8,0,12
Creedence Clearwater Revival,6,2,0,0,0,0
Black Sabbath,5,1,1,0,0,0
The Beatles,5,0,0,0,0,0
Van Morrison,4,1,0,0,0,0
Grateful Dead,4,0,0,0,0,0
"Crosby, Stills, Nash & Young",3,0,0,0,0,0
The Doors,2,4,0,0,0,0
Elton John,2,2,3,8,2,2
Allman Brothers Band,2,1,3,2,0,0
Santana,2,1,0,0,0,0
Chicago,2,0,1,1,0,0
Eric Clapton,2,0,0,0,2,0
Derek & The Dominos,2,0,0,0,0,0
Guess Who,2,0,0,0,0,0
The Who,1,6,2,3,0,1
Paul McCartney & Wings,1,1,0,6,1,1
John Lennon,1,1,0,0,1,0
Jimi Hendrix,1,1,0,0,0,0
The Kinks,1,1,0,0,0,0
The Moody Blues,1,1,0,0,0,0
Deep Purple,1,0,3,0,1,0
Neil Young,1,0,3,0,0,0
Todd Rundgren,1,0,2,0,0,0
"Emerson, Lake & Palmer",1,0,1,2,0,0
War,1,0,1,0,0,2
Lou Reed,1,0,1,0,0,0
Grand Funk Railroad,1,0,0,1,3,1
Free,1,0,0,1,0,0
George Harrison,1,0,0,1,0,0
Badfinger,1,0,0,0,0,0
Dave Edmunds,1,0,0,0,0,0
Edwin Starr,1,0,0,0,0,0
Five Man Electrical Band,1,0,0,0,0,0
Gregg Allman,1,0,0,0,0,0
James Gang,1,0,0,0,0,0
Mountain,1,0,0,0,0,0
Mungo Jerry,1,0,0,0,0,0
Simon & Garfunkel,1,0,0,0,0,0
Sugarloaf,1,0,0,0,0,0
The James Gang,1,0,0,0,0,0
Rolling Stones,0,5,2,3,2,1
Yes,0,4,1,0,0,0
Alice Cooper,0,3,1,3,0,1
Jethro Tull,0,3,1,0,1,0
Rod Stewart,0,3,1,0,0,0
Janis Joplin,0,3,0,0,0,0
Paul McCartney & Linda McCartney,0,3,0,0,0,0
Ringo Starr,0,2,1,1,2,0
Pink Floyd,0,2,0,10,0,4
T. Rex,0,2,0,0,0,0
David Bowie,0,1,3,0,2,3
Faces,0,1,0,1,0,0
Bill Withers,0,1,0,0,0,0
Carole King,0,1,0,0,0,0
Cat Stevens,0,1,0,0,0,0
Commander Cody,0,1,0,0,0,0
Don McLean,0,1,0,0,0,0
Focus,0,1,0,0,0,0
Funkadelic,0,1,0,0,0,0
Hollies,0,1,0,0,0,0
JAMES TAYLOR,0,1,0,0,0,0
Stephen Stills,0,1,0,0,0,0
Steven Stills,0,1,0,0,0,0
Ten Years After,0,1,0,0,0,0
Eagles,0,0,3,2,2,3
The Doobie Brothers,0,0,3,2,2,1
Steely Dan,0,0,2,0,1,0
America,0,0,2,0,0,1
Paul Simon,0,0,1,2,0,1
Jackson Browne,0,0,1,1,0,0
Uriah Heep,0,0,1,1,0,0
Argent,0,0,1,0,0,0
Humble Pie,0,0,1,0,0,0
Jim Croce,0,0,1,0,0,0
Johnny Nash,0,0,1,0,0,0
Mott the Hoople,0,0,1,0,0,0
Stealers Wheel,0,0,1,0,0,0
Bruce Springsteen,0,0,0,5,0,6
Lynyrd Skynyrd,0,0,0,4,5,1
ZZ Top,0,0,0,4,0,2
Billy Joel,0,0,0,3,0,0
Montrose,0,0,0,3,0,0
Aerosmith,0,0,0,2,3,5
Bachman-Turner Overdrive,0,0,0,2,1,0
Golden Earring,0,0,0,2,0,0
Kiss,0,0,0,1,1,1
Queen,0,0,0,1,1,1
Fleetwood Mac,0,0,0,1,0,3
Styx,0,0,0,1,0,3
Charlie Daniels Band,0,0,0,1,0,2
Peter Frampton,0,0,0,1,0,2
Bob Dylan,0,0,0,1,0,1
Bob Seger,0,0,0,1,0,1
Ozark Mountain Daredevils,0,0,0,1,0,1
Dobie Gray,0,0,0,1,0,0
Dr. John,0,0,0,1,0,0
Edgar Winter Group,0,0,0,1,0,0
J. Geils Band,0,0,0,1,0,0
Jimmy Buffett,0,0,0,1,0,0
Joe Walsh,0,0,0,1,0,0
Little Feat,0,0,0,1,0,0
Steve Miller Band,0,0,0,1,0,0
Stevie Wonder,0,0,0,1,0,0
Sweet,0,0,0,1,0,0
The Marshall Tucker Band,0,0,0,1,0,0
Bad Company,0,0,0,0,3,1
Harry Chapin,0,0,0,0,2,0
Supertramp,0,0,0,0,2,0
Electric Light Orchestra,0,0,0,0,1,2
Rush,0,0,0,0,1,2
Ace,0,0,0,0,1,0
David Essex,0,0,0,0,1,0
Genesis,0,0,0,0,1,0
Gordon Lightfoot,0,0,0,0,1,0
Rick Derringer,0,0,0,0,1,0
Robin Trower,0,0,0,0,1,0
AC/DC,0,0,0,0,0,2
Foghat,0,0,0,0,0,2
"10cc",0,0,0,0,0,1
Bob Marley,0,0,0,0,0,1
Elvin Bishop,0,0,0,0,0,1
Gary Wright,0,0,0,0,0,1
Head East,0,0,0,0,0,1
Jeff Beck,0,0,0,0,0,1
Nazareth,0,0,0,0,0,1
Rainbow,0,0,0,0,0,1
Russ Ballard,0,0,0,0,0,1
Ted Nugent,0,0,0,0,0,1
The Outlaws,0,0,0,0,0,1
.38 Special,0,0,0,0,0,0
"3 Doors Down",0,0,0,0,0,0
"4 Non Blondes",0,0,0,0,0,0
a-ha,0,0,0,0,0,0
Adelitas Way,0,0,0,0,0,0
Alanis Morissette,0,0,0,0,0,0
Alannah Myles,0,0,0,0,0,0
Aldo Nova,0,0,0,0,0,0
Alice In Chains,0,0,0,0,0,0
Animals II,0,0,0,0,0,0
Ann Wilson,0,0,0,0,0,0
April Wine,0,0,0,0,0,0
Arlo Guthrie,0,0,0,0,0,0
Artful Dodger,0,0,0,0,0,0
Asia,0,0,0,0,0,0
Atlanta Rhythm Section,0,0,0,0,0,0
Audioslave,0,0,0,0,0,0
Autograph,0,0,0,0,0,0
Axe,0,0,0,0,0,0
Bad English,0,0,0,0,0,0
Baton Rouge,0,0,0,0,0,0
Beastie Boys,0,0,0,0,0,0
Beck,0,0,0,0,0,0
Big Country,0,0,0,0,0,0
Bill Haley,0,0,0,0,0,0
Billy Idol,0,0,0,0,0,0
Billy Rankin,0,0,0,0,0,0
Billy Squier,0,0,0,0,0,0
Billy Thorpe,0,0,0,0,0,0
Blackfoot,0,0,0,0,0,0
Blind Faith,0,0,0,0,0,0
Blind Melon,0,0,0,0,0,0
Blink-182,0,0,0,0,0,0
Blondie,0,0,0,0,0,0
Blue Oyster Cult,0,0,0,0,0,0
Blur,0,0,0,0,0,0
Bob Welch,0,0,0,0,0,0
Bon Jovi,0,0,0,0,0,0
Bonham,0,0,0,0,0,0
Booker T. and the MG's,0,0,0,0,0,0
Boston,0,0,0,0,0,0
Boz Scaggs,0,0,0,0,0,0
Brewer & Shipley,0,0,0,0,0,0
Bruce Hornsby & The Range,0,0,0,0,0,0
Bryan Adams,0,0,0,0,0,0
Buckcherry,0,0,0,0,0,0
Buffalo Springfield,0,0,0,0,0,0
Bush,0,0,0,0,0,0
Candlebox,0,0,0,0,0,0
Canned Heat,0,0,0,0,0,0
Cheap Trick,0,0,0,0,0,0
Chevelle,0,0,0,0,0,0
Chuck Berry,0,0,0,0,0,0
Cinderella,0,0,0,0,0,0
Clarks,0,0,0,0,0,0
Collective Soul,0,0,0,0,0,0
Coney Hatch,0,0,0,0,0,0
Counting Crows,0,0,0,0,0,0
Cracker,0,0,0,0,0,0
Cream,0,0,0,0,0,0
Creed,0,0,0,0,0,0
"Crosby, Stills & Nash",0,0,0,0,0,0
Cutting Crew,0,0,0,0,0,0
Damn Yankees,0,0,0,0,0,0
Dave Mason,0,0,0,0,0,0
David & David,0,0,0,0,0,0
David Gilmour,0,0,0,0,0,0
David Johansen,0,0,0,0,0,0
David Lee Roth,0,0,0,0,0,0
Def Leppard,0,0,0,0,0,0
Depeche Mode,0,0,0,0,0,0
Detective,0,0,0,0,0,0
Dick Siegel,0,0,0,0,0,0
Dio,0,0,0,0,0,0
Dire Straits,0,0,0,0,0,0
Dishwalla,0,0,0,0,0,0
Dokken,0,0,0,0,0,0
Don Felder,0,0,0,0,0,0
Don Henley,0,0,0,0,0,0
Donnie Iris,0,0,0,0,0,0
Donovan,0,0,0,0,0,0
Dr. Hook & the Medicine Show,0,0,0,0,0,0
Dramarama,0,0,0,0,0,0
Duran Duran,0,0,0,0,0,0
Eddie Money,0,0,0,0,0,0
Elvis Costello,0,0,0,0,0,0
Eric Johnson,0,0,0,0,0,0
Europe,0,0,0,0,0,0
Eurythmics,0,0,0,0,0,0
Eve 6,0,0,0,0,0,0
Everclear,0,0,0,0,0,0
Everlast,0,0,0,0,0,0
Extreme,0,0,0,0,0,0
Faith No More,0,0,0,0,0,0
Faster Pussycat,0,0,0,0,0,0
Firm,0,0,0,0,0,0
Foo Fighters,0,0,0,0,0,0
Foreigner,0,0,0,0,0,0
Frank Zappa,0,0,0,0,0,0
Gary Numan,0,0,0,0,0,0
George Thorogood,0,0,0,0,0,0
Georgia Satellites,0,0,0,0,0,0
Gerry Rafferty,0,0,0,0,0,0
Gin Blossoms,0,0,0,0,0,0
Glenn Frey,0,0,0,0,0,0
Gold Star Ballroom Orchestra,0,0,0,0,0,0
Gov't Mule,0,0,0,0,0,0
Great White,0,0,0,0,0,0
Green Day,0,0,0,0,0,0
Greg Kihn Band,0,0,0,0,0,0
Guns N' Roses,0,0,0,0,0,0
Gypsy,0,0,0,0,0,0
Harold Faltermeyer,0,0,0,0,0,0
Harry Nilsson,0,0,0,0,0,0
Heart,0,0,0,0,0,0
Heartsfield,0,0,0,0,0,0
HellYeah,0,0,0,0,0,0
Henry Paul Band,0,0,0,0,0,0
Honeymoon Suite,0,0,0,0,0,0
Hooters,0,0,0,0,0,0
Huey Lewis & The News,0,0,0,0,0,0
Iggy Pop,0,0,0,0,0,0
Imagine Dragons,0,0,0,0,0,0
INXS,0,0,0,0,0,0
Iron Butterfly,0,0,0,0,0,0
Iron Maiden,0,0,0,0,0,0
Jane's Addiction,0,0,0,0,0,0
Jay Ferguson,0,0,0,0,0,0
Jefferson Airplane,0,0,0,0,0,0
Jefferson Starship,0,0,0,0,0,0
Jesus Jones,0,0,0,0,0,0
Jet,0,0,0,0,0,0
Joan Jett,0,0,0,0,0,0
Joe Cocker,0,0,0,0,0,0
Joe Jackson,0,0,0,0,0,0
Joe Satriani,0,0,0,0,0,0
John Cafferty,0,0,0,0,0,0
John Fogerty,0,0,0,0,0,0
John Mellencamp,0,0,0,0,0,0
John Prine,0,0,0,0,0,0
Johnny Van Zant,0,0,0,0,0,0
Jonathan Edwards,0,0,0,0,0,0
Jonathan Richman,0,0,0,0,0,0
Journey,0,0,0,0,0,0
Judas Priest,0,0,0,0,0,0
Junkyard,0,0,0,0,0,0
Kansas,0,0,0,0,0,0
Kenny Loggins,0,0,0,0,0,0
Kenny Wayne Shepherd,0,0,0,0,0,0
Kid Rock,0,0,0,0,0,0
Kingofthehill,0,0,0,0,0,0
Kings of Leon,0,0,0,0,0,0
Krokus,0,0,0,0,0,0
L.A. Guns,0,0,0,0,0,0
Lake,0,0,0,0,0,0
Lee Michaels,0,0,0,0,0,0
Legs Diamond,0,0,0,0,0,0
Lenny Kravitz,0,0,0,0,0,0
Leon Russell,0,0,0,0,0,0
Lit,0,0,0,0,0,0
Lita Ford,0,0,0,0,0,0
Live,0,0,0,0,0,0
Living Colour,0,0,0,0,0,0
Local H,0,0,0,0,0,0
London Symphony Orchestra,0,0,0,0,0,0
Lou Gramm,0,0,0,0,0,0
Loverboy,0,0,0,0,0,0
Lynch Mob,0,0,0,0,0,0
Mama's Pride,0,0,0,0,0,0
Manfred Mann,0,0,0,0,0,0
Marcy Playground,0,0,0,0,0,0
Meat Loaf,0,0,0,0,0,0
Melissa Etheridge,0,0,0,0,0,0
Men At Work,0,0,0,0,0,0
Metallica,0,0,0,0,0,0
Michael Nesmith,0,0,0,0,0,0
Michael Stanley,0,0,0,0,0,0
Midnight Oil,0,0,0,0,0,0
Mitch Ryder,0,0,0,0,0,0
Modern English,0,0,0,0,0,0
Molkie Cole,0,0,0,0,0,0
Molly Hatchet,0,0,0,0,0,0
Monroes,0,0,0,0,0,0
Motley Crue,0,0,0,0,0,0
Moxy,0,0,0,0,0,0
Mr. Big,0,0,0,0,0,0
Nektar,0,0,0,0,0,0
Nickelback,0,0,0,0,0,0
Night Ranger,0,0,0,0,0,0
Nirvana,0,0,0,0,0,0
Norman Greenbaum,0,0,0,0,0,0
Nothing More,0,0,0,0,0,0
Oasis,0,0,0,0,0,0
Orleans,0,0,0,0,0,0
Otis Redding,0,0,0,0,0,0
Ozzy Osbourne,0,0,0,0,0,0
Pat Benatar,0,0,0,0,0,0
Pat Travers,0,0,0,0,0,0
Pearl Jam,0,0,0,0,0,0
Pete Townshend,0,0,0,0,0,0
Peter Gabriel,0,0,0,0,0,0
Phil Collins,0,0,0,0,0,0
Poison,0,0,0,0,0,0
Procol Harum,0,0,0,0,0,0
Puddle of Mudd,0,0,0,0,0,0
Pure Prairie League,0,0,0,0,0,0
Queen / David Bowie,0,0,0,0,0,0
Queens of the Stone Age,0,0,0,0,0,0
Queensryche,0,0,0,0,0,0
Quicksilver Messenger Service,0,0,0,0,0,0
Quiet Riot,0,0,0,0,0,0
R.E.M.,0,0,0,0,0,0
Ram Jam,0,0,0,0,0,0
Ratt,0,0,0,0,0,0
Red Hot Chili Peppers,0,0,0,0,0,0
Red Rider,0,0,0,0,0,0
REO Speedwagon,0,0,0,0,0,0
Rick Springfield,0,0,0,0,0,0
Robert Palmer,0,0,0,0,0,0
Robert Plant,0,0,0,0,0,0
Robert Tepper,0,0,0,0,0,0
Rockets,0,0,0,0,0,0
Rocky Burnette,0,0,0,0,0,0
Roger Daltry,0,0,0,0,0,0
Roger Hodgson,0,0,0,0,0,0
Rory Gallagher,0,0,0,0,0,0
Royal Bliss,0,0,0,0,0,0
Saga,0,0,0,0,0,0
Sam & Dave,0,0,0,0,0,0
Sammy Hagar,0,0,0,0,0,0
Scandal,0,0,0,0,0,0
School Of Fish,0,0,0,0,0,0
Scorpions,0,0,0,0,0,0
Seether,0,0,0,0,0,0
Sex Pistols,0,0,0,0,0,0
Sherbs,0,0,0,0,0,0
Shinedown,0,0,0,0,0,0
Simple Minds,0,0,0,0,0,0
Skid Row,0,0,0,0,0,0
Slaughter,0,0,0,0,0,0
Smash Mouth,0,0,0,0,0,0
Smashing Pumpkins,0,0,0,0,0,0
Sniff 'n' the Tears,0,0,0,0,0,0
Soft Cell,0,0,0,0,0,0
Soundgarden,0,0,0,0,0,0
Southside Johnny,0,0,0,0,0,0
Spencer Davis Group,0,0,0,0,0,0
Spin Doctors,0,0,0,0,0,0
Squeeze,0,0,0,0,0,0
Staind,0,0,0,0,0,0
Starset,0,0,0,0,0,0
Steppenwolf,0,0,0,0,0,0
Steve Earle,0,0,0,0,0,0
Steve Perry,0,0,0,0,0,0
Steve Winwood,0,0,0,0,0,0
Stevie Nicks,0,0,0,0,0,0
Stevie Nicks w/ Tom Petty and the Heartbreakers,0,0,0,0,0,0
Stevie Ray Vaughan,0,0,0,0,0,0
Sting,0,0,0,0,0,0
Stone Temple Pilots,0,0,0,0,0,0
Stray Cats,0,0,0,0,0,0
Stryper,0,0,0,0,0,0
Stu Nunnery,0,0,0,0,0,0
Sublime,0,0,0,0,0,0
Sugar Ray,0,0,0,0,0,0
Survivor,0,0,0,0,0,0
